node,totDeg,nLines,nServices
8,12,29,2526
1,7,6,586
2,5,7,533
3,3,7,602
5,6,8,663
4,3,2,169
7,2,2,169
9,2,2,169
12,2,2,169
6,2,2,169
10,3,2,169
11,3,3,277
14,5,4,397
16,2,1,120
17,2,1,120
13,2,1,120
15,2,1,120
19,2,1,120
20,2,1,120
18,4,3,231
22,2,3,231
21,2,3,231
23,2,3,231
24,2,3,231
25,3,6,441
26,4,7,561
27,11,12,776
7266,4,7,840
1256,12,18,1454
32,8,12,967
31,6,10,851
34,4,5,545
33,3,4,420
79,9,11,875
76,6,11,807
3691,3,8,815
2028,10,15,1308
4223,7,6,500
7564,7,6,446
120,5,3,238
121,3,5,366
122,3,5,366
123,2,3,231
124,2,3,231
125,2,3,231
126,4,3,231
127,2,1,120
128,2,1,120
129,2,1,120
130,2,1,120
131,2,1,120
134,2,1,120
132,2,1,120
136,2,1,120
133,2,1,120
135,2,1,120
137,4,7,600
138,4,7,533
139,3,7,533
725,11,28,2088
729,4,3,233
439,5,9,762
442,4,3,228
1397,6,5,416
1909,5,3,310
731,5,4,370
730,5,4,366
477,6,10,884
483,7,10,884
7159,5,7,681
538,4,6,730
574,9,12,1172
1113,8,8,666
410,7,11,916
415,5,10,841
420,5,10,828
726,4,3,220
727,4,3,170
568,5,3,185
95,5,4,275
571,5,3,228
434,5,11,975
728,4,3,233
115,4,4,286
771,2,2,124
5777,2,1,62
772,2,1,62
774,2,1,62
773,2,1,62
5778,2,1,62
775,2,1,62
777,2,1,62
5779,2,1,62
778,2,1,62
780,2,1,62
779,2,1,62
786,2,1,62
781,2,1,62
740,2,1,62
782,2,1,62
790,5,5,206
783,2,3,156
784,3,4,190
792,4,5,206
794,2,4,190
785,4,5,206
796,2,4,190
787,3,4,190
788,3,4,191
963,5,6,241
732,11,24,1591
734,4,6,241
733,3,5,225
738,2,4,190
735,2,4,190
741,4,5,206
736,2,4,190
743,4,5,206
737,2,4,190
745,3,4,190
739,5,5,206
746,2,1,62
789,2,1,62
742,2,1,62
748,2,1,62
750,2,1,62
744,2,1,62
752,2,1,62
5789,2,1,62
754,2,1,62
756,2,1,62
747,2,1,62
749,2,1,62
758,2,1,62
751,2,1,62
760,2,1,62
4761,2,2,120
2238,3,2,125
2239,3,2,125
7142,4,2,120
3723,3,2,125
3725,2,2,125
3727,3,2,125
3728,2,1,60
7035,2,1,60
7036,2,1,60
7037,2,1,60
7038,2,1,60
7039,4,2,116
