nodev,nPathsTime,nPathsDist,nPathsHops,cbHops,cbDist,cbTime
1807,77961,80374,45104,0.0023852621429748468,0.004250466909353058,0.004122858769254657
3311,462490,361511,320494,0.016948878264690062,0.019118005111940842,0.02445813871285112
3765,176635,176635,176635,0.009341095659461734,0.009341095659461734,0.009341095659461734
3697,176635,176635,176635,0.009341095659461734,0.009341095659461734,0.009341095659461734
3042,297918,302765,315411,0.016680070897876893,0.01601130482258291,0.01575497798667037
1880,236284,452758,30293,0.0016020030617492247,0.02394347546401662,0.012495549844596237
1266,174800,148907,264198,0.01397174280883444,0.007874739045848605,0.009244054243348777
2562,8648,8648,8648,0.0004573374204604131,0.0004573374204604131,0.0004573374204604131
3290,462636,356295,321770,0.017016357745322286,0.01884216422559469,0.024465859719255745
115,118883,341913,1863482,0.09854764696512622,0.018081592211133354,0.00628696167398188
2630,92700,107664,70654,0.0037364382637846937,0.0056936605037523035,0.0049023102308834755
3223,101317,113322,100939,0.005338018256689829,0.005992875943734382,0.005358008259573043
3013,74008,65960,68630,0.003629401846230129,0.003488202619515362,0.003913809876669086
947,188150,188150,188303,0.009958141568565816,0.00995005037692261,0.00995005037692261
1495,748118,654913,803884,0.042512284332724186,0.03463416073612287,0.03956317718778947
1890,114456,361307,23089,0.0012210295676469102,0.01910721685641657,0.006052845952384024
3143,253595,230570,235454,0.012451656452021984,0.012193372922705534,0.01341101793959973
4319,82784,95509,79774,0.004218736746046369,0.005050860278764292,0.004377916398634926
4005,231817,253273,61742,0.003265139571469337,0.01339398941862514,0.012259318778777936
6874,133685,133685,133685,0.007069744802757901,0.007069744802757901,0.007069744802757901
3257,332990,372247,150774,0.00797347273733792,0.019685763500708536,0.017609711799157372
2319,91644,107781,69921,0.0036976745809450214,0.005699847885597108,0.004846465143463703
4120,479049,190473,143797,0.007604503821686636,0.010072898992525009,0.025333838336510227
1388,8654,812345,1447577,0.07655309101501197,0.04295973251895401,0.00045765472209348
4003,231817,253273,61742,0.003265139571469337,0.01339398941862514,0.012259318778777936
3832,17295,17295,19010,0.001005317340766935,0.0009146219573153151,0.0009146219573153151
3522,4327,4327,271184,0.014341187676935324,0.00022882736104674,0.00022882736104674
301,622501,566571,367390,0.019428907828740887,0.029962317258056977,0.032920097314295516
1612,13367,19698,14432,0.0007632161947368967,0.0010417012613586052,0.0007068951548675233
2353,4326,4326,4326,0.00022877447744122886,0.00022877447744122886,0.00022877447744122886
3508,42915,186993,42839,0.002265480776492095,0.009888864045346212,0.0022694999305109425
2358,4326,4326,4326,0.00022877447744122886,0.00022877447744122886,0.00022877447744122886
4009,231817,253273,61742,0.003265139571469337,0.01339398941862514,0.012259318778777936
1160,604727,738316,443536,0.02345578285399281,0.039044812086569194,0.031980144109940364
7032,135695,130568,165371,0.008745414726984155,0.006904906604379651,0.00717604084983531
7152,159063,169380,188608,0.009974271068246715,0.00895742510147835,0.00841182494341983
3607,235653,235653,235883,0.012474343518786266,0.012462180289518702,0.012462180289518702
